fuente,nombre,voltaje_kv,subestacion_origen,subestacion_destino,propietario,longitud_km,estado,geometry_wkt,attrs_json
Lineas_de_Transmision_69_kV__,Iztapa - Taxisco 16.2 km,69,,,,,,"LINESTRING (-90.722951904 13.9390661800001, -90.7229214489999 13.9387202860001, -90.716118367 13.940483204, -90.7152721709999 13.940343126, -90.714698022 13.939963211, -90.71213045 13.9397112680001, -90.7113775429999 13.939768754, -90.7102224379999 13.9396177680001, -90.709027051 13.939631821, -90.7084243939999 13.939156894, -90.7078158489999 13.93887133, -90.707260267 13.93872, -90.7068235899999 13.938308106, -90.706624973 13.9378476550001, -90.706530545 13.9374460640001, -90.7066439399999 13.93659019, -90.707008966 13.934936722, -90.7074786649999 13.9342169850001, -90.7082898639999 13.933220256, -90.7069238629999 13.932232028, -90.7067467019999 13.9323735290001, -90.705904565 13.932118481, -90.70159417 13.932336623, -90.6994265929999 13.9323347160001, -90.6935625959999 13.933442621, -90.6915400549999 13.933694122, -90.690701123 13.933706489, -90.689237043 13.9335268950001, -90.686716516 13.933226497, -90.6852944729999 13.932969004, -90.67555345 13.932364871, -90.674174147 13.9327993480001, -90.66775908 13.931813394, -90.66461359 13.931462278, -90.6630430959999 13.931521383, -90.65980531 13.931298204, -90.658520212 13.931338743, -90.657220112 13.931533824, -90.654865174 13.9312192690001, -90.6517354079999 13.931082276, -90.650259512 13.9303484090001, -90.645826519 13.9299846300001, -90.64293124 13.9297004160001, -90.641876068 13.9295561550001, -90.636046477 13.929255135, -90.6350583589999 13.9290487340001, -90.633116832 13.9281200560001, -90.6310037849999 13.927447808, -90.629412432 13.9274415670001, -90.625101377 13.9269064690001, -90.6233985059999 13.9272487960001, -90.61845131 13.926797928, -90.616923908 13.926347471, -90.61472325 13.926006942, -90.613733267 13.925635797, -90.613173702 13.9258205090001, -90.6110654809999 13.925322334, -90.607848217 13.924749958, -90.605810342 13.924673554, -90.604047236 13.9247858890001, -90.60243658 13.924449383, -90.601107956 13.923753559, -90.6003224019999 13.9234559450001, -90.599302216 13.923319926, -90.596557292 13.9233527420001, -90.593584567 13.9233484990001, -90.590828255 13.9239992880001, -90.587003616 13.9247460170001, -90.5856629789999 13.924804676, -90.584911544 13.924814417, -90.584330912 13.9247355040001, -90.58448674 13.9238852850001)","{""FID"": 1, ""FID_Polyli"": 2, ""Name"": ""Iztapa - Taxisco 16.2 km"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 16720.531479524336}"
Lineas_de_Transmision_69_kV__,SANTA ISABEL - PORTUARIA,69,,,,,,"LINESTRING (-90.823980078 13.9669705850001, -90.8234568869999 13.9670647610001, -90.823398982 13.966834603, -90.822346612 13.966868972, -90.819680918 13.966924825, -90.819087037 13.966915423, -90.818491563 13.966942478, -90.8176242869999 13.9669852200001, -90.816625498 13.966973156, -90.8157316589999 13.966978757, -90.814877391 13.9669939920001, -90.8127242949999 13.967058001, -90.809206949 13.9671115510001, -90.8057941309999 13.967112746, -90.803146083 13.967151351, -90.803142404 13.964504689, -90.803126209 13.9606915120001, -90.8030417039999 13.9586489280001, -90.803074343 13.9578708990001, -90.803120383 13.9575434990001, -90.800156591 13.957559177, -90.797067432 13.957611402, -90.79511701 13.957612494, -90.793762601 13.9575186240001, -90.7915623629999 13.957433941, -90.789580222 13.957443156, -90.7882604189999 13.957495839, -90.788206748 13.955007523, -90.788269166 13.9533535290001, -90.7883105439999 13.950858723, -90.788319083 13.949014022, -90.7882249739999 13.9463385900001, -90.788340022 13.9444268560001, -90.788379865 13.942669736, -90.788319875 13.9417880210001, -90.788379219 13.9403155090001, -90.7883559759999 13.938890079, -90.7882978759999 13.9371003490001, -90.7883288849999 13.935216945, -90.787800137 13.9343813160001, -90.786446464 13.934386116, -90.7859222209999 13.933600203, -90.7850014199999 13.932361509, -90.7847062589999 13.9320403730001, -90.784448795 13.932060165)","{""FID"": 2, ""FID_Polyli"": 3, ""Name"": ""SANTA ISABEL - PORTUARIA"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 8279.775438987323}"
Lineas_de_Transmision_69_kV__,Belem - Isabel,69,,,,,,"LINESTRING (-90.8237540869999 13.9671580890001, -90.8240418429999 13.9671163900001, -90.8234674269999 13.9671935990001)","{""FID"": 3, ""FID_Polyli"": 4, ""Name"": ""Belem - Isabel"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 96.94216696901896}"
Lineas_de_Transmision_69_kV__,TRINIDAD - BELEM,69,,,,,,"LINESTRING (-90.8411000349999 14.150241663, -90.841754244 14.1504998360001, -90.842533366 14.1507099730001, -90.8431449789999 14.1504383290001, -90.8438133509999 14.150108366, -90.843420015 14.14907335, -90.842868354 14.14800664, -90.84226499 14.147051694, -90.841776621 14.1461283230001, -90.841170017 14.145213377, -90.8405257029999 14.144144385, -90.8399649579999 14.143051656, -90.8394733699999 14.141931626, -90.840236648 14.1409233640001, -90.841015026 14.1398450230001, -90.841791694 14.1388783500001, -90.84253996 14.1379083470001, -90.843278376 14.136823312, -90.8439533249999 14.1357416790001, -90.843848377 14.1348216630001, -90.843767723 14.134202682, -90.843193296 14.134296654, -90.843168786 14.1341659510001)","{""FID"": 4, ""FID_Polyli"": 5, ""Name"": ""TRINIDAD - BELEM"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 2511.996332311807}"
Lineas_de_Transmision_69_kV__,Los Esclavos Conex,69,,,,,,"LINESTRING (-90.2911840989999 14.2511549840001, -90.291149415 14.2509849190001, -90.2908684229999 14.251043048)","{""FID"": 5, ""FID_Polyli"": 6, ""Name"": ""Los Esclavos Conex"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 51.895032674602305}"
Lineas_de_Transmision_69_kV__,Esclavos-Progreso,69,,,,,,"LINESTRING (-90.29087982 14.251043133, -90.2903042029999 14.251163052, -90.288129993 14.250984776, -90.287372745 14.2508045380001, -90.286500308 14.250189412, -90.2856926939999 14.2495750200001, -90.285068332 14.2491253040001, -90.280756155 14.24884132, -90.277577497 14.250566446, -90.2747838339999 14.2510765, -90.2744955909999 14.251172566, -90.273030503 14.251327437, -90.272891717 14.251316817, -90.2725297209999 14.2513849390001, -90.269933978 14.2516081490001, -90.266459675 14.2532664910001, -90.2649318299999 14.2540167480001, -90.263385785 14.2547396850001, -90.2618394029999 14.2554897050001, -90.260210221 14.256193599, -90.258691492 14.256952945, -90.256314764 14.2574404590001, -90.255850901 14.25750738, -90.254487418 14.257681362, -90.2522148809999 14.2572125760001, -90.2503297309999 14.256874694, -90.2488236879999 14.256586338, -90.2470128489999 14.256231225, -90.245155062 14.2559297510001, -90.2421844509999 14.254992146, -90.23999818 14.2542894040001, -90.2385227069999 14.2537755280001, -90.2360826079999 14.253385951, -90.2345071819999 14.253476071, -90.232978714 14.25351253, -90.230717541 14.253639827, -90.230387621 14.2533559880001, -90.2297211709999 14.252571453, -90.228339441 14.251968284, -90.227592857 14.251679598, -90.226892462 14.25140048, -90.225427415 14.250796328, -90.222524243 14.249660574, -90.22110563 14.249047908, -90.220231543 14.2485861, -90.2198079469999 14.248391482, -90.218814827 14.2478198940001, -90.2181539309999 14.247342502, -90.217657596 14.2470386430001, -90.216646635 14.2464126460001, -90.2159212669999 14.245907399, -90.2150033499999 14.245246353, -90.214166772 14.2447488360001, -90.213138091 14.244059393, -90.2119988649999 14.243323494, -90.211103864 14.2430601260001, -90.2102266059999 14.24286019, -90.209571229 14.2426899430001, -90.2076993599999 14.242044811, -90.207015323 14.241946481, -90.206219737 14.241882972, -90.2053551969999 14.241403167, -90.2046555389999 14.241069807, -90.2040113229999 14.2407461280001, -90.202987616 14.2404089670001, -90.2023154069999 14.240103021, -90.2017265279999 14.2397980500001, -90.200417038 14.239358173, -90.1997635769999 14.239034376, -90.199264839 14.238929168, -90.1986222 14.238479044, -90.1974695699999 14.2388358320001, -90.196279121 14.2385057190001, -90.194687772 14.238396694, -90.193900804 14.237637766, -90.192962469 14.2371389910001, -90.191914266 14.236539565, -90.190646413 14.2374317900001, -90.189097293 14.235205767, -90.188028671 14.2355093060001, -90.186340409 14.2357513430001, -90.185663432 14.2358336820001, -90.182714692 14.236169211, -90.1784307339999 14.2366514970001, -90.1770867489999 14.2389929840001, -90.176139791 14.240679814, -90.175686846 14.2413608920001, -90.17544208 14.24168315, -90.1752138069999 14.24216818, -90.17490517 14.243158056, -90.1743541929999 14.243530878, -90.174107399 14.2440156870001, -90.172497321 14.2468959030001, -90.171986884 14.2477298330001, -90.1719096629999 14.2479818160001, -90.171823745 14.248188534, -90.1701049329999 14.249387471, -90.1692187019999 14.2499098430001, -90.1685463219999 14.250362494, -90.1677287289999 14.2505785850001, -90.1662334389999 14.2509311310001, -90.1654440719999 14.2511114210001, -90.1673195819999 14.2507685210001, -90.163372926 14.2516016130001, -90.162202702 14.2518767120001, -90.1613112579999 14.2520738350001, -90.160400956 14.252297826, -90.159128203 14.2526258790001, -90.157112818 14.2530986130001, -90.1559239539999 14.2533824870001, -90.15390856 14.2538551910001, -90.153193478 14.2540182590001, -90.152496799 14.2541905770001, -90.151924639 14.2547708170001, -90.1508925519999 14.2558423130001, -90.1493444019999 14.257449546, -90.1489517799999 14.2577429020001, -90.147873029 14.2588409180001, -90.147272727 14.259447901, -90.1458653459999 14.2609032460001, -90.1447030049999 14.2620183040001, -90.143394101 14.2630051510001, -90.1422724189999 14.263831662, -90.141363999 14.2639020500001, -90.1403537299999 14.2639712110001, -90.1393787869999 14.2641762700001, -90.13846031 14.264309748, -90.137409563 14.2639177880001, -90.136248853 14.2634341840001, -90.1354746299999 14.26314489, -90.134654572 14.262818915, -90.1340092949999 14.2625853590001, -90.133707289 14.2623017400001, -90.132671991 14.261422231, -90.132250878 14.261037828, -90.131856515 14.2607350320001, -90.131316754 14.260213723, -90.130327882 14.2600573070001, -90.130102355 14.2595849390001, -90.129495734 14.25849382, -90.1290164539999 14.2575848700001, -90.1277562489999 14.2561878270001, -90.12728909 14.2557848000001, -90.12675038 14.255182211, -90.126256479 14.254697574, -90.125506888 14.2539298700001, -90.1244653789999 14.252815437, -90.123514861 14.251828543, -90.122929764 14.2512344210001, -90.1223635299999 14.25061343, -90.12156733 14.2498722500001, -90.1203744009999 14.2490178970001, -90.119264003 14.2482277590001, -90.1179785099999 14.2473722790001, -90.117106549 14.2467656480001, -90.116427523 14.24627876, -90.1151422829999 14.245405208, -90.114197996 14.2446622190001, -90.1128475089999 14.2438239950001, -90.1121043849999 14.243282132, -90.1112608059999 14.24263067, -90.1104246509999 14.242123803, -90.109297076 14.2412340740001, -90.107616683 14.240129912, -90.106932355 14.239335864, -90.105736042 14.2380298350001, -90.1051408489999 14.237507813, -90.104584764 14.236823696, -90.1037164539999 14.2359370940001, -90.1013912879999 14.233849663, -90.1008719059999 14.2331930820001, -90.099453134 14.231911425, -90.098099756 14.2305854000001, -90.096672336 14.22925847, -90.09586704 14.2285171200001, -90.095043581 14.2277484540001, -90.0943121229999 14.2270260620001, -90.0920428319999 14.227097784, -90.0909317349999 14.2271023130001, -90.0890704589999 14.227124788, -90.0869404959999 14.227162034, -90.0860884889999 14.227178732, -90.082195633 14.2267880000001, -90.0809379409999 14.226673283, -90.0797357939999 14.226559239, -90.078912842 14.2264769220001, -90.0766001999999 14.2263221810001, -90.0757958819999 14.22623105, -90.073298925 14.2260108020001, -90.071708697 14.225837773, -90.0705130869999 14.225218007, -90.0692717829999 14.2245525190001, -90.067663241 14.2236477020001, -90.0664580499999 14.223054896, -90.065242723 14.223247687, -90.063887725 14.2235019730001, -90.0629877119999 14.223653471, -90.062208504 14.223770326, -90.061252832 14.2239301630001, -90.0602043569999 14.224106917, -90.059304458 14.22424937, -90.0584509599999 14.2243833600001, -90.0577736919999 14.2244924240001, -90.056205897 14.2247350110001, -90.054907017 14.2249447780001, -90.0538771689999 14.2251127, -90.0532556739999 14.225204376, -90.051219879 14.2251250600001, -90.050370713 14.225638384, -90.0487749069999 14.2258986350001, -90.047012125 14.226183904, -90.0460100419999 14.226352134, -90.0451101359999 14.2264945300001, -90.044080047 14.2266804670001, -90.042864821 14.2268641060001, -90.042450117 14.227427933, -90.0419608859999 14.2280269610001, -90.041084124 14.2292353030001, -90.0400478649999 14.230604224, -90.039144252 14.231739973, -90.0372785089999 14.2342365080001, -90.0367600629999 14.2349435310001, -90.036006885 14.2359005070001, -90.035403584 14.236723876, -90.0350174379999 14.2372248200001, -90.033632568 14.2390499520001, -90.033283443 14.239551353, -90.0322665429999 14.240848214, -90.03175803 14.241501156, -90.031390382 14.2420023220001, -90.0308356189999 14.24335911, -90.030146753 14.245057406, -90.029267168 14.2471777820001, -90.0289624139999 14.2478242220001, -90.0286595489999 14.248326188, -90.0279974719999 14.250097054, -90.0277785129999 14.2505549080001, -90.02669272 14.252862346, -90.0260882439999 14.2530625200001, -90.0255199889999 14.2540307810001, -90.024790555 14.2552860210001, -90.024513665 14.2559237670001, -90.024077257 14.2567220790001, -90.023161095 14.257387963, -90.022328723 14.2580187660001, -90.0215901129999 14.258560426, -90.020832627 14.259128941, -90.01998149 14.25977756, -90.019373905 14.260212478, -90.018672669 14.2607275020001, -90.0178866829999 14.2613498340001, -90.017045382 14.261953407, -90.0161003369999 14.2627001730001, -90.0154369509999 14.263152442, -90.0145360659999 14.263357896, -90.013755059 14.2636009730001, -90.012882183 14.26378871, -90.010717317 14.264348563, -90.01027635 14.2647855430001, -90.00962042 14.2653733490001, -90.0083249199999 14.266711716, -90.0077807919999 14.267246734, -90.007265272 14.267718894, -90.0066455229999 14.2683703600001, -90.005998354 14.268994386, -90.005247908 14.269725481, -90.004591235 14.270367444, -90.0036259279999 14.2712403230001, -90.001898857 14.2729976590001, -90.0012414459999 14.273693785, -90.0003593189999 14.2745767240001, -90.0001436239999 14.2747817150001)","{""FID"": 6, ""FID_Polyli"": 7, ""Name"": ""Esclavos-Progreso"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 39807.05748122596}"
Lineas_de_Transmision_69_kV__,Mazatenango - La Maquina,69,,,,,,"LINESTRING (-91.6298879089999 14.278795925, -91.629907433 14.2787577340001, -91.629911753 14.2787108520001)","{""FID"": 7, ""FID_Polyli"": 8, ""Name"": ""Mazatenango - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 10.302469139865906}"
Lineas_de_Transmision_69_kV__,Champerico - La Maquina,69,,,,,,"LINESTRING (-91.629911753 14.2787108520001, -91.6298879089999 14.278795925)","{""FID"": 8, ""FID_Polyli"": 9, ""Name"": ""Champerico - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 10.126236659117506}"
Lineas_de_Transmision_69_kV__,Mazatenango - La Maquina,69,,,,,,"LINESTRING (-91.628397292 14.278900473, -91.6283652659999 14.279085016)","{""FID"": 9, ""FID_Polyli"": 10, ""Name"": ""Mazatenango - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 21.495824608566164}"
Lineas_de_Transmision_69_kV__,Mazatenango - La Maquina,69,,,,,,"LINESTRING (-91.6283652659999 14.279085016, -91.628347832 14.279185477, -91.6281452099999 14.2791291440001, -91.628203136 14.2789611150001, -91.6283652659999 14.279085016)","{""FID"": 10, ""FID_Polyli"": 11, ""Name"": ""Mazatenango - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 78.50201708241966}"
